"name","author","narrator","releasedate","language","hours","mins","total_time_mins","price","avg_rating","max_rating","nr_of_ratings"
The Pigeons and the Rats (Hindi Edition),Maple Press,Chaitali Gupta,"2021-09-23",Hindi,0,3,3,139.00,"4",5,"1"
The Tiger Who Came to Tea,Judith Kerr,Geraldine McEwan,"2013-06-06",English,0,9,9,76.00,"4.5",5,"6"
An Elephant in My Backyard,Shobha Viswanath,Shernaz Patel,"2020-03-31",English,0,8,8,75.00,"4",5,"8"
Billi Aur Moosarani [Cat and Musrani],Shivani,Sarah Hashmi,"2021-10-14",Hindi,0,26,26,0.00,,5,"0"
The Three Little Pigs,uncredited,Katie Haigh,"2016-03-10",English,0,12,12,74.00,"4.5",5,"2"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",Gwyneth Paltrow,"2009-08-04",English,0,11,11,13.00,,5,"0"
Peter Goes Birding,Geoffrey Higges,Carole-Anne Fooks,"2022-03-24",English,0,9,9,93.00,,5,"0"
Cat Care,Carly J. Bacon,Anonymous,"2022-03-03",English,0,20,20,93.00,,5,"0"
Cockapoo,"Sheri A. Johnson, Tanya Dewey Ph D",Anonymous,"2022-02-21",English,0,18,18,93.00,,5,"0"
Adventures of the Humongoose Family,Zai Whitaker,Suki,"2022-03-01",English,0,59,59,137.00,,5,"0"
Indian Stories: Five Famous Tales,uncredited,Katie Haigh,"2016-02-25",English,0,27,27,225.00,"3",5,"1"
The Christmasaurus,Tom Fletcher,"Tom Fletcher, Paul Shelley","2021-10-28",English,0,7,7,410.00,,5,"0"
"Lakes, Lochs and Rivers",Ladybird,Ben Bailey Smith,"2021-09-09",English,0,58,58,410.00,,5,"0"
Little Lizard's New Bike,"Andrew Rowland, Melinda Melton Crow",Anonymous,"2022-03-16",English,0,1,1,93.00,,5,"0"
Tyrannosaurus Rex,Daniel Nunn,Anonymous,"2022-03-16",English,0,2,2,82.00,,5,"0"
Un petit âne à l'école,"Laurence Fey, Polly Dunbar",Patrice Baudrier,"2022-03-16",French,0,3,3,151.00,,5,"0"
Grümel - Ostern ist gerettet,Ute Höpfner,Cathlen Gawlich,"2022-03-11",German,0,40,40,166.00,,5,"0"
Min stora äventyrsbok med Rasmus Nalle,"Vilhelm Hansen, Carla Hansen, Lisa Fransson-translator",Thomas Engelbrektson,"2022-03-07",Swedish,0,30,30,32.00,,5,"0"
Rasmus Nalle hjälper Pip och Den rullande sängen,"Vilhelm Hansen, Carla Hansen, Lisa Fransson-translator",Thomas Engelbrektson,"2022-03-07",Swedish,0,10,10,32.00,,5,"0"
Rasmus Nalle räddar prinsessan Nanna,"Vilhelm Hansen, Carla Hansen, Lisa Fransson-translator",Thomas Engelbrektson,"2022-03-07",Swedish,0,14,14,32.00,,5,"0"
Petit Ours Brun va pique-niquer,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,3,3,113.00,,5,"0"
Petit Ours Brun découvre la ferme,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,4,4,113.00,,5,"0"
Petit Ours Brun va au marché,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,3,3,113.00,,5,"0"
Petit Ours Brun joue dans la neige,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,3,3,113.00,,5,"0"
Petit Ours Brun se déguise,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,3,3,113.00,,5,"0"
Petit Ours Brun joue au parc,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,3,3,113.00,,5,"0"
Petit Ours Brun va à l'école,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,4,4,113.00,,5,"0"
Petit Ours Brun fête son anniversaire,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,4,4,113.00,,5,"0"
Petit Ours Brun se promène au parc animalier,Nathalie Savey,Dorothée Pousséo,"2022-02-28",French,0,3,3,113.00,,5,"0"
Corn Snakes,"Joe Maierhauser, Melanie A. Howard",Anonymous,"2022-02-25",English,0,16,16,93.00,,5,"0"
Leaves in Fall,Martha E. Rustad,Anonymous,"2022-03-01",English,0,1,1,82.00,,5,"0"
I Want a Dog,Kimberly M. Hutmacher,Anonymous,"2022-02-25",English,0,2,2,82.00,,5,"0"
Bugs,Christopher Nicholas,Walt Wise,"2022-02-25",English,0,14,14,154.00,,5,"0"
Fem minutter i godnat - Rasmus Klump,Carlaog Vilhelm Hansen,Sonny Lahey,"2022-02-23",Danish,1,4,64,233.00,,5,"0"
I stalden med Sigge,Lin Hallberg,Benedikte Biørn,"2022-02-23",Danish,1,16,76,233.00,,5,"0"
Hamley in de sneeuw,Sandra J. Paul,Gerdy Swennen,"2022-02-23",Dutch,1,48,108,133.00,,5,"0"
Madame Kunterbunt und das Geheimnis der Mutmagie,Thilo Petry-Lassak,Marion Elskis,"2022-03-16",German,1,25,85,267.00,,5,"0"
Valkoinen Saapas,Elina Aro,Katleena Kortesuo,"2022-02-21",Finnish,2,50,170,166.00,,5,"0"
A Daredevil's Guide to Storm Chasing,"Amie Jane Leavitt, Joshua Wurman",Anonymous,"2022-02-23",English,1,4,64,117.00,,5,"0"
California Sea Lions,Megan C. Peterson,Anonymous,"2022-02-23",English,0,3,3,82.00,,5,"0"
Rhinoceroses,Joanne Mattern,Anonymous,"2022-02-23",English,0,2,2,82.00,,5,"0"
A Game of Fox & Squirrels,Jenn Reese,Sarah Franco,"2020-10-13",English,6,4,364,74.00,,5,"0"
A Little Bit of Dinosaur,"Elleen Hutcheson, Darcy Pattison",Josiah Bildner,"2021-07-22",English,0,4,4,117.00,,5,"0"
